#	Id	Group	Name	Title	Icon	Desc	Level	ActorType	Race	Sex	MonsterType	Quality	Speed	BSpeed	BornEffect	DeadEffect	StagePos	StageScale	AIFeature	KillExp	LHP	ATK	DEF	CRI	BUR	LMP	VAM	HIT	DOG	BAF	VoiceAsset	ModelAsset	AiAtkDist	AiFollowDist	AiWaringDist	FindEnemyInterval	AIScript	SkillScript
1	Actor	剑士	初级剑士	901	剑士，这里是最强的存在，曾经打遍天下无敌手	1	0	1	0	0	0	6.25	5	0	0	0;0;0;	100	1111111111111111	0	1000	80	15	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role1	Model/Player/1	2	6	10	0.2	Text/AI/1	Text/Actor/1
2	Actor	法师	初级法师	902	法师，这里是最强的存在，曾经打遍天下无敌手	1	0	1	1	0	0	6.25	5	0	0	0;0;0;	100	1111111111111111	0	1000	80	15	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role2	Model/Player/2	2	6	10	0.2	Text/AI/2	Text/Actor/2
3	Actor	刺客	初级刺客	903	刺客，这里是最强的存在，曾经打遍天下无敌手	1	0	1	1	0	0	6.25	5	0	0	0;0;0;	100	1111111111111111	0	1000	80	15	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role3	Model/Player/3	2	6	10	0.2	Text/AI/3	Text/Actor/3
4	Actor	锤王	初级锤王	904	锤王，这里是最强的存在，曾经打遍天下无敌手	1	0	1	0	0	0	6.25	5	0	0	0;0;0;	100	1111111111111111	0	1000	80	15	5	50	0	0	0	0	0	Sound/Voice/Avatar/Role4	Model/Player/4	2	6	10	0.2	Text/AI/4	Text/Actor/4
40001	Actor	公会指引	光明议会	905	公会指引，想加入公会？找他。	1	1	1	0	0	0	6.25	5	0	0	0;0;0;	100	1111111111111111	0	1000	50	10	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role5	Model/Npc/40001	2	6	10	0.2	Text/AI/40001	Text/Actor/40001
40002	Actor	药剂大师	光明议会	906	药剂大师，要要购买药剂？找他。	1	1	1	0	0	0	6.25	5	0	0	0;0;0;	100	1111111111111111	0	1000	50	10	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role6	Model/Npc/40002	2	6	10	0.2	Text/AI/40002	Text/Actor/40002
40003	Actor	武器大师	光明议会	912	武器大师，想要购买武器？找他。	1	1	1	0	0	0	6.25	5	0	0	0;0;0;	100	1111111111111111	0	1000	50	10	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role12	Model/Npc/40003	2	6	10	0.2	Text/AI/40008	Text/Actor/40008
40004	Actor	低级护送马车	光明议会	908	低级护送马车，这里是最强的存在，曾经打遍天下无敌手	1	1	1	2	0	0	6.25	5	0	0	0;0;0;	100	1111111111111111	0	1000	50	10	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role8	Model/Npc/40004	2	6	10	0.2	Text/AI/40004	Text/Actor/40004
40005	Actor	圣光女神	光明议会	910	圣光女神，这里是最强的存在，曾经打遍天下无敌手	1	1	1	1	0	0	6.25	5	0	0	0;0;0;	100	1111111111111111	0	1000	50	10	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role10	Model/Npc/40005	2	6	10	0.2	Text/AI/40006	Text/Actor/40006
40006	Actor	执法女神	光明议会	911	执法女神，这里是最强的存在，曾经打遍天下无敌手	1	1	1	1	0	0	6.25	5	0	0	0;0;0;	100	1111111111111111	0	1000	50	10	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role11	Model/Npc/40006	2	6	10	0.2	Text/AI/40007	Text/Actor/40007
40007	Actor	玉清真人	光明议会	913	玉清真人，这里是最强的存在，曾经打遍天下无敌手	1	1	1	0	0	0	6.25	5	0	0	0;0;0;	100	1111111111111111	0	1000	50	10	0	0	0	0	0	0	0	Sound/Voice/Avatar/Role13	Model/Npc/40007	2	6	10	0.2	Text/AI/40009	Text/Actor/40009
50001	Actor	变异亡灵	光明议会	914	变异亡灵，这里是最强的存在，曾经打遍天下无敌手	1	2	4	2	1	0	3.75	3	0	0	0;0;0;	100	1111111111111111	25	575	40	15	5	50	0	2	50	2	2	Sound/Voice/Avatar/Role14	Model/Monster/50001	4	6	10	0.2	Text/AI/50001	Text/Actor/50001
50002	Actor	灰烬执行官	光明议会	915	灰烬执行官，这里是最强的存在，曾经打遍天下无敌手	1	2	1	2	1	0	3.75	3	0	0	0;0;0;	100	1111111111111111	27	670	46	17	5	50	0	2	50	2	2	Sound/Voice/Avatar/Role15	Model/Monster/50002	2	6	10	0.2	Text/AI/50002	Text/Actor/50002
50003	Actor	巨型恶魔	光明议会	916	巨型恶魔，这里是最强的存在，曾经打遍天下无敌手	1	2	5	2	1	0	5	4	0	0	0;0;0;	100	1111111111111111	29	765	52	19	5	50	0	2	50	2	2	Sound/Voice/Avatar/Role16	Model/Monster/50003	2	6	10	0.2	Text/AI/50003	Text/Actor/50003
50004	Actor	亡灵精锐	光明议会	917	亡灵精锐，这里是最强的存在，曾经打遍天下无敌手	1	2	4	2	1	0	5	4	0	0	0;0;0;	100	1111111111111111	31	860	58	21	5	50	0	2	50	2	2	Sound/Voice/Avatar/Role17	Model/Monster/50004	2	6	10	0.2	Text/AI/50004	Text/Actor/50004
50005	Actor	变异蝙蝠	光明议会	918	变异蝙蝠，这里是最强的存在，曾经打遍天下无敌手	1	2	9	2	1	0	6	4.8	0	0	0;0;0;	100	1111111111111111	33	955	64	23	5	50	0	2	50	2	2	Sound/Voice/Avatar/Role18	Model/Monster/50005	2	6	10	0.2	Text/AI/50005	Text/Actor/50005
50006	Actor	缝合怪	光明议会	919	缝合怪，这里是最强的存在，曾经打遍天下无敌手	1	2	4	2	1	0	4.5	3.6	0	0	0;0;0;	100	1111111111111111	35	1050	70	25	5	50	0	2	50	2	2	Sound/Voice/Avatar/Role19	Model/Monster/50006	2	6	10	0.2	Text/AI/50006	Text/Actor/50006
50007	Actor	灰烬教徒	光明议会	920	灰烬教徒，这里是最强的存在，曾经打遍天下无敌手	1	2	1	2	1	0	8.75	7	65002	0	0;0;0;	100	1111111111111111	37	1145	76	27	5	50	0	2	50	2	2	Sound/Voice/Avatar/Role20	Model/Monster/50007	2	6	10	0.2	Text/AI/50007	Text/Actor/50007
50008	Actor	灰烬教徒精锐	光明议会	921	灰烬教徒精锐，这里是最强的存在，曾经打遍天下无敌手	1	2	1	2	2	0	8.75	7	0	0	0;0;0;	100	1111111111111111	39	1240	82	29	5	50	0	2	50	2	2	Sound/Voice/Avatar/Role21	Model/Monster/50008	2	6	10	0.2	Text/AI/50008	Text/Actor/50008
50009	Actor	暮烟法师	光明议会	922	暮烟法师，这里是最强的存在，曾经打遍天下无敌手	1	2	1	2	1	0	8.75	7	0	0	0;0;0;	100	1111111111111111	41	1335	88	31	5	50	0	2	50	2	2	Sound/Voice/Avatar/Role22	Model/Monster/50009	2	6	10	0.2	Text/AI/50009	Text/Actor/50009
